TP_ABRANGENCIA;SG_UF;NM_UE;CD_CARGO;DS_CARGO;SQ_CANDIDATO;NM_CANDIDATO;NM_URNA_CANDIDATO;CD_SITUACAO_CANDIDATURA;DS_SITUACAO_CANDIDATURA;CD_DETALHE_SITUACAO_CAND;DS_DETALHE_SITUACAO_CAND;TP_AGREMIACAO;NR_PARTIDO;SG_PARTIDO;NM_PARTIDO;NM_COLIGACAO;CD_NACIONALIDADE;DS_NACIONALIDADE;NR_IDADE_DATA_POSSE;CD_GENERO;DS_GENERO;CD_GRAU_INSTRUCAO;DS_GRAU_INSTRUCAO;CD_ESTADO_CIVIL;DS_ESTADO_CIVIL;CD_COR_RACA;DS_COR_RACA;CD_OCUPACAO;DS_OCUPACAO;CD_SIT_TOT_TURNO;DS_SIT_TOT_TURNO;ST_REELEICAO;VR_DESPESA_CONTRATADA;QT_VOTOS_NOMINAIS;ELEITO
ESTADUAL;DF;DISTRITO FEDERAL;6;DEPUTADO FEDERAL;70000616405;LIA DE SOUSA AIRES;LIA AIRES;12;APTO;4;INDEFERIDO COM RECURSO;PARTIDO ISOLADO;29;PCO;PARTIDO DA CAUSA OPERÁRIA;PARTIDO ISOLADO;1;BRASILEIRA NATA;30;4;FEMININO;7;ENSINO MÉDIO;1;SOLTEIRO(A);1;BRANCA;931;ESTUDANTE, BOLSISTA, ESTAGIÁRIO E ASSEMELHADOS;4;NÃO ELEITO;N;;0;nao
ESTADUAL;DF;DISTRITO FEDERAL;8;DEPUTADO DISTRITAL;70000627432;EDENUDES DE CASSIA SOARES DA CUNHA;EDENUDES DE CASSIA;12;APTO;2;DEFERIDO;PARTIDO ISOLADO;20;PSC;PARTIDO SOCIAL CRISTÃO;PARTIDO ISOLADO;1;BRASILEIRA NATA;58;4;FEMININO;6;ENSINO MÉDIO;5;VIÚVO(A);3;PARDA;999;OUTROS;5;SUPLENTE;N;;49;nao
ESTADUAL;DF;DISTRITO FEDERAL;8;DEPUTADO DISTRITAL;70000612425;NATANAEL SAULO DA SILVA PEREIRA;NATANAEL SAULO;12;APTO;2;DEFERIDO;COLIGAÇÃO;18;REDE;REDE SUSTENTABILIDADE;Brasília Justa e de mãos limpas;1;BRASILEIRA NATA;24;2;MASCULINO;8;SUPERIOR COMPLETO;1;SOLTEIRO(A);3;PARDA;162;ATOR E DIRETOR DE ESPETÁCULOS PÚBLICOS;5;SUPLENTE;N;482.40000000000003;112;nao
ESTADUAL;DF;DISTRITO FEDERAL;8;DEPUTADO DISTRITAL;70000610810;LEILA REGINA LOPES;NEGALAIZE;12;APTO;2;DEFERIDO;PARTIDO ISOLADO;13;PT;PARTIDO DOS TRABALHADORES;PARTIDO ISOLADO;1;BRASILEIRA NATA;51;4;FEMININO;7;ENSINO MÉDIO;1;SOLTEIRO(A);2;PRETA;999;OUTROS;5;SUPLENTE;N;5249.999999999999;106;nao
ESTADUAL;DF;DISTRITO FEDERAL;6;DEPUTADO FEDERAL;70000624623;GERARDO ALVES LIMA FILHO;PROFESSOR GERARDO;12;APTO;2;DEFERIDO;COLIGAÇÃO;36;PTC;PARTIDO TRABALHISTA CRISTÃO;RENOVAR DF;1;BRASILEIRA NATA;37;2;MASCULINO;8;SUPERIOR COMPLETO;3;CASADO(A);1;BRANCA;296;SERVIDOR PÚBLICO FEDERAL;4;NÃO ELEITO;N;58235.0;2696;nao
ESTADUAL;DF;DISTRITO FEDERAL;8;DEPUTADO DISTRITAL;70000604844;MARCIA DE ALMEIDA FERRAZ;MARCINHA TAXISTA;12;APTO;2;DEFERIDO;PARTIDO ISOLADO;31;PHS;PARTIDO HUMANISTA DA SOLIDARIEDADE;PARTIDO ISOLADO;1;BRASILEIRA NATA;47;4;FEMININO;6;ENSINO MÉDIO;1;SOLTEIRO(A);1;BRANCA;536;TAXISTA;5;SUPLENTE;N;1500.5;149;nao
ESTADUAL;DF;DISTRITO FEDERAL;6;DEPUTADO FEDERAL;70000610849;ANTONIO SABINO DE VASCONCELOS NETO;SABINO;12;APTO;2;DEFERIDO;PARTIDO ISOLADO;13;PT;PARTIDO DOS TRABALHADORES;PARTIDO ISOLADO;1;BRASILEIRA NATA;59;2;MASCULINO;8;SUPERIOR COMPLETO;3;CASADO(A);3;PARDA;296;SERVIDOR PÚBLICO FEDERAL;5;SUPLENTE;N;16651.2;5306;nao
ESTADUAL;DF;DISTRITO FEDERAL;8;DEPUTADO DISTRITAL;70000615712;ERNESTO FERREIRA SOARES;ERNESTO GOLD;12;APTO;2;DEFERIDO;PARTIDO ISOLADO;14;PTB;PARTIDO TRABALHISTA BRASILEIRO;PARTIDO ISOLADO;1;BRASILEIRA NATA;41;2;MASCULINO;6;ENSINO MÉDIO;3;CASADO(A);3;PARDA;999;OUTROS;5;SUPLENTE;N;26901.4;2246;nao
ESTADUAL;DF;DISTRITO FEDERAL;8;DEPUTADO DISTRITAL;70000600734;JOSE BOLIVAR DA ROCHA CRUZ LEITE;BOLIVAR ROCHA;12;APTO;2;DEFERIDO;PARTIDO ISOLADO;70;AVANTE;AVANTE;PARTIDO ISOLADO;1;BRASILEIRA NATA;45;2;MASCULINO;5;ENSINO FUNDAMENTAL;3;CASADO(A);3;PARDA;999;OUTROS;5;SUPLENTE;N;59918.799999999996;782;nao
ESTADUAL;DF;DISTRITO FEDERAL;8;DEPUTADO DISTRITAL;70000604869;GABRIEL OLIVEIRA ROCHA;GABRIEL ROCHA;12;APTO;2;DEFERIDO;PARTIDO ISOLADO;31;PHS;PARTIDO HUMANISTA DA SOLIDARIEDADE;PARTIDO ISOLADO;1;BRASILEIRA NATA;55;2;MASCULINO;6;ENSINO MÉDIO;3;CASADO(A);3;PARDA;134;ASSISTENTE SOCIAL;5;SUPLENTE;N;5217.700000000001;438;nao
ESTADUAL;DF;DISTRITO FEDERAL;6;DEPUTADO FEDERAL;70000624617;PAULO FERNANDO MELO DA COSTA;PAULO FERNANDO;12;APTO;2;DEFERIDO;COLIGAÇÃO;51;PATRI;PATRIOTA;RENOVAR DF;1;BRASILEIRA NATA;51;2;MASCULINO;8;SUPERIOR COMPLETO;3;CASADO(A);3;PARDA;296;SERVIDOR PÚBLICO FEDERAL;4;NÃO ELEITO;N;49134.100000000006;31183;nao
ESTADUAL;DF;DISTRITO FEDERAL;8;DEPUTADO DISTRITAL;70000621303;MANOEL MORAIS DE OLIVEIRA NETO ALEXANDRE;PROFESSOR MANOEL MORAIS;12;APTO;2;DEFERIDO;PARTIDO ISOLADO;23;PPS;PARTIDO POPULAR SOCIALISTA;PARTIDO ISOLADO;1;BRASILEIRA NATA;43;2;MASCULINO;8;SUPERIOR COMPLETO;3;CASADO(A);1;BRANCA;296;SERVIDOR PÚBLICO FEDERAL;4;NÃO ELEITO;N;9640.81;852;nao
ESTADUAL;DF;DISTRITO FEDERAL;8;DEPUTADO DISTRITAL;70000601723;JOSE HEITOR DA SILVA CASTRO;HEITOR DO HOSPITAL;12;APTO;2;DEFERIDO;PARTIDO ISOLADO;11;PP;PROGRESSISTAS;PARTIDO ISOLADO;1;BRASILEIRA NATA;56;2;MASCULINO;6;ENSINO MÉDIO;3;CASADO(A);1;BRANCA;297;SERVIDOR PÚBLICO ESTADUAL;5;SUPLENTE;N;10029.0;810;nao
ESTADUAL;DF;DISTRITO FEDERAL;8;DEPUTADO DISTRITAL;70000614985;CHARLES BARBOSA CHAGAS;CHARLES DO GÁSMYT;12;APTO;2;DEFERIDO;COLIGAÇÃO;44;PRP;PARTIDO REPUBLICANO PROGRESSISTA;BRASÍLIA ACIMA DE TUDO;1;BRASILEIRA NATA;43;2;MASCULINO;4;ENSINO FUNDAMENTAL;1;SOLTEIRO(A);3;PARDA;169;COMERCIANTE;5;SUPLENTE;N;37000.0;555;nao
ESTADUAL;DF;DISTRITO FEDERAL;8;DEPUTADO DISTRITAL;70000627461;PAULO ROBERTO MIRANDA TORRES;PAULO TORRES VIP;12;APTO;2;DEFERIDO;PARTIDO ISOLADO;20;PSC;PARTIDO SOCIAL CRISTÃO;PARTIDO ISOLADO;1;BRASILEIRA NATA;60;2;MASCULINO;8;SUPERIOR COMPLETO;3;CASADO(A);1;BRANCA;257;EMPRESÁRIO;5;SUPLENTE;N;9398.2;784;nao
ESTADUAL;DF;DISTRITO FEDERAL;8;DEPUTADO DISTRITAL;70000605631;SAMARA DOS SANTOS BRITO NEVES;SAMARA BRITO;12;APTO;2;DEFERIDO;PARTIDO ISOLADO;90;PROS;PARTIDO REPUBLICANO DA ORDEM SOCIAL;PARTIDO ISOLADO;1;BRASILEIRA NATA;34;4;FEMININO;8;SUPERIOR COMPLETO;3;CASADO(A);3;PARDA;297;SERVIDOR PÚBLICO ESTADUAL;5;SUPLENTE;N;64892.7;1729;nao
ESTADUAL;DF;DISTRITO FEDERAL;8;DEPUTADO DISTRITAL;70000625637;IVANI APARECIDA BERNARDINA DA SILVA;IVANI FERREIRA;12;APTO;2;DEFERIDO;COLIGAÇÃO;27;DC;DEMOCRACIA CRISTÃ;TODOS PELO DF;1;BRASILEIRA NATA;41;4;FEMININO;8;SUPERIOR COMPLETO;3;CASADO(A);3;PARDA;266;PROFESSOR DE ENSINO MÉDIO;4;NÃO ELEITO;N;4710.14;121;nao
